, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
335,Bar,Spirits,01 Spirits,Standard,Au Pink Lemonade,Double,68,237.98,198.4202,0.2959442285,0.7646179609,4.640560346,4.640560346,237.32,0,-0.66,39.5598
336,Bar,Spirits,01 Spirits,Standard,Au Pink Lemonade,Standard,26,51.34,42.7929,0.063844763,0.1649528789,1.001119288,1.001119288,51.74,0.4,0,8.5471
337,Bar,Spirits,01 Spirits,Standard,Au Straw Burst,Double,20,70.13,58.464499999999994,0.087211399,0.2253242188,1.3675203675,1.3675203675,69.8,0,-0.33,11.6655
338,Bar,Spirits,01 Spirits,Standard,Au Straw Burst,Standard,18,36.6,30.506100000000004,0.0455145759,0.1175939884,0.7136923635,0.7136923635,35.82,0,-0.78,6.0939
339,Bar,Spirits,01 Spirits,Standard,Bacardi,Double,5,24.36,20.2929,0.0302933079,0.0782674743,0.4750149173,0.4750149173,32.25,0,7.89,4.0671
340,Bar,Spirits,01 Spirits,Standard,Bacardi,Standard,3,9.71,8.0889,0.0120750418,0.0311977494,0.189342974,0.189342974,14.85,0,5.14,1.6211
341,Bar,Spirits,01 Spirits,Standard,Beefeater Orange,Double,57,231.78,193.1415,0.2882341091,0.7446976678,4.5196616396,4.5196616396,232.56,0,0.78,38.6385
342,Bar,Spirits,01 Spirits,Standard,Beefeater Orange,Standard,32,80.76,67.2904,0.1004305231,0.2594778827,1.5748031496,1.5748031496,82.56,0,1.8,13.4696
343,Bar,Spirits,01 Spirits,Standard,Bells 8YR,Double,16,52.64,43.85,0.0654614009,0.1691297145,1.0264690168,1.0264690168,52.64,0,0,8.79
344,Bar,Spirits,01 Spirits,Standard,Bells 8YR,Standard,38,68.25,56.8354,0.0848734919,0.2192838719,1.3308607598,1.3308607598,68.02,0.36,-0.59,11.4146
345,Bar,Spirits,01 Spirits,Standard,Bombay Sapphire,Double,4,18.919999999999998,15.764499999999998,0.0235282999,0.0607890235,0.3689360524,0.3689360524,22.56,0,3.64,3.1555
346,Bar,Spirits,01 Spirits,Standard,Bombay Sapphire,Standard,3,10.66,8.8827,0.0132564311,0.0342500524,0.2078677758,0.2078677758,12.42,0,1.76,1.7773
347,Bar,Spirits,01 Spirits,Standard,Capt Morgan Tiki,Double,28,125.64999999999999,104.7332,0.1562542748,0.4037072308,2.4501487834,2.4501487834,129.92,0,4.27,20.9168
348,Bar,Spirits,01 Spirits,Standard,Capt Morgan Tiki,Standard,18,52.720000000000006,43.93900000000001,0.0655608863,0.1693867506,1.0280290001,1.0280290001,56.52,0,3.8,8.781
349,Bar,Spirits,01 Spirits,Standard,Corkys SourApple,Standard,43,70.94999999999999,59.126699999999985,0.0882311245,0.2279588382,1.3835101964,1.3835101964,116.1,0,45.15,11.8233
350,Bar,Spirits,01 Spirits,Standard,Corkys SourCherr,Standard,20,34.65,28.8831,0.0430896189,0.111328735,0.6756677704,0.6756677704,54,0,19.35,5.7669
351,Bar,Spirits,01 Spirits,Standard,Courvoisier VS,Double,3,15.18,12.647499999999999,0.0188773569,0.0487725886,0.2960068327,0.2960068327,17.04,0,1.86,2.5325
352,Bar,Spirits,01 Spirits,Standard,Courvoisier VS,Standard,1,2.38,1.9828999999999999,0.002959691,0.0076468222,0.0464095034,0.0464095034,4.18,0,1.8,0.3971
353,Bar,Spirits,01 Spirits,Standard,Edin Rhub Liqueu,Double,23,91.42,76.8631,0.1136869542,0.2937279351,1.7826709254,1.7826709254,93.84,1.64,0.78,14.5569
354,Bar,Spirits,01 Spirits,Standard,Edin Rhub Liqueu,Standard,22,56.16,46.7957,0.069838759,0.1804393003,1.0951082823,1.0951082823,56.76,0,0.6,9.3643
355,Bar,Spirits,01 Spirits,Standard,FireBall Whisky,Double,2,8.12,6.762999999999999,0.0100977693,0.0260891581,0.1583383058,0.1583383058,8.6,0,0.48,1.357
356,Bar,Spirits,01 Spirits,Standard,FireBall Whisky,Standard,14,29.980000000000004,24.986400000000003,0.037282158,0.0963242561,0.5846037447,0.5846037447,39.2,0,9.22,4.9936
357,Bar,Spirits,01 Spirits,Standard,Gordon Pink Gin,Double,24,112.45,93.7091,0.1398391818,0.3612962842,2.1927515376,2.1927515376,135.36,1.9,21.01,18.7409
358,Bar,Spirits,01 Spirits,Standard,Gordon Pink Gin,Standard,21,63.67,53.0587,0.079177952,0.2045685586,1.2415517154,1.2415517154,86.94,0,23.27,10.6113
359,Bar,Spirits,01 Spirits,Standard,Gordons Gin,Double,6,30.200000000000003,25.170800000000003,0.0375557429,0.0970311052,0.5888936988,0.5888936988,33.84,0,3.64,5.0292
360,Bar,Spirits,01 Spirits,Standard,Gordons Gin,Standard,5,20.7,17.2517,0.0257418503,0.0665080754,0.403645681,0.403645681,20.7,0,0,3.4483
361,Bar,Spirits,01 Spirits,Standard,Hendricks Gin,Double,2,10.04,8.3629,0.0124854192,0.0322580231,0.1957779052,0.1957779052,12.44,0,2.4,1.6771
362,Bar,Spirits,01 Spirits,Standard,Hendricks Gin,Standard,3,11.82,9.848600000000001,0.0146989696,0.037977075,0.2304875338,0.2304875338,14.16,0,2.34,1.9714
363,Bar,Spirits,01 Spirits,Standard,Jack Dan Apple,Standard,1,2.8,2.3333,0.0034819894,0.0089962614,0.0545994158,0.0545994158,2.8,0,0,0.4667
364,Bar,Spirits,01 Spirits,Standard,Jack Daniels,Double,16,83.92999999999999,69.9232,0.1043726326,0.2696629358,1.6366174882,1.6366174882,95.84,2.4,9.51,14.0068
365,Bar,Spirits,01 Spirits,Standard,Jack Daniels,Standard,6,24.830000000000002,20.688100000000002,0.0308777847,0.079777561,0.4841798193,0.4841798193,26.94,0,2.11,4.1419
366,Bar,Spirits,01 Spirits,Standard,Jamesons,Double,5,26.1,22.675700000000003,0.0324571156,0.0838580082,0.5089445543,0.5089445543,27.85,0,1.75,3.4243
367,Bar,Spirits,01 Spirits,Standard,Jamesons,Standard,3,10.520000000000001,8.766300000000001,0.0130823316,0.0338002393,0.205137805,0.205137805,12.21,0,1.69,1.7537
368,Bar,Spirits,01 Spirits,Standard,JC Silver Teq,Standard,2,6.2,5.17,0.0077101194,0.0199202931,0.1208987064,0.1208987064,7.2,0,1,1.03
369,Bar,Spirits,01 Spirits,Standard,JC Silver Teq35,Double,5,24.45,20.3617,0.030405229,0.0785566398,0.4767698986,0.4767698986,24.45,0,0,4.0883
370,Bar,Spirits,01 Spirits,Standard,JC Silver Teq35,Standard,6,20.6,17.1686,0.0256174935,0.0661867804,0.4016957019,0.4016957019,21.6,0,1,3.4314
371,Bar,Spirits,01 Spirits,Standard,Kraken Black,Double,19,102.85,85.67599999999999,0.1279009324,0.3304519593,2.0055535406,2.0055535406,122.55,0,19.7,17.174
372,Bar,Spirits,01 Spirits,Standard,Kraken Black,Standard,13,38.760000000000005,32.292500000000004,0.048200682,0.1245339615,0.7558119128,0.7558119128,61.89,0,23.13,6.4675
373,Bar,Spirits,01 Spirits,Standard,Morgan Spiced,Double,54,245.64000000000001,204.78490000000002,0.3054699566,0.7892291618,4.7899287478,4.7899287478,250.56,0,4.92,40.8551
374,Bar,Spirits,01 Spirits,Standard,Morgan Spiced,Standard,28,84.88,70.76589999999999,0.1055540218,0.2727152388,1.65514229,1.65514229,87.92,0,3.04,14.1141
375,Bar,Spirits,01 Spirits,Standard,Morgan White,Double,11,51.04,42.521699999999996,0.0634716927,0.1639889937,0.9952693506,0.9952693506,51.04,0,0,8.5183
376,Bar,Spirits,01 Spirits,Standard,Morgan White,Standard,3,8.66,7.2202,0.0107692958,0.0278241514,0.1688681931,0.1688681931,9.42,0,0.76,1.4398
377,Bar,Spirits,01 Spirits,Standard,Mozart White,Standard,28,57.86000000000001,48.23800000000001,0.071952824,0.1859013162,1.1282579276,1.1282579276,78.4,0,20.54,9.622
378,Bar,Spirits,01 Spirits,Standard,PineappleTequila,Double,3,13.8,11.5,0.0171612335,0.044338717,0.2690971207,0.2690971207,13.8,0,0,2.3
379,Bar,Spirits,01 Spirits,Standard,PineappleTequila,Standard,20,62,51.6582,0.0771011941,0.1992029312,1.2089870638,1.2089870638,62,0,0,10.3418
380,Bar,Spirits,01 Spirits,Standard,Sambuca Classic,Standard,27,54.56,45.465500000000006,0.0678490508,0.1752985795,1.0639086162,1.0639086162,75.6,1.24,19.8,9.0945
381,Bar,Spirits,01 Spirits,Standard,Sambuca Rberry,Standard,15,32.47,27.058,0.0403786415,0.1043245029,0.6331582252,0.6331582252,42,0,9.53,5.412
382,Bar,Spirits,01 Spirits,Standard,Sheepdog Peanut,Standard,1,2.8,2.3352999999999997,0.0034819894,0.0089962614,0.0545994158,0.0545994158,2.8,0,0,0.4647
383,Bar,Spirits,01 Spirits,Standard,Smirn Mang&Pas,Double,34,118.66,98.937,0.1475617369,0.3812487068,2.3138452419,2.3138452419,118.66,0,0,19.723
384,Bar,Spirits,01 Spirits,Standard,Smirn Mang&Pas,Standard,22,44.17,36.835100000000004,0.0549283829,0.1419160238,0.861305784,0.861305784,43.78,0,-0.39,7.3349
385,Bar,Spirits,01 Spirits,Standard,Smirn RaspCrush,Double,40,139.93,116.64920000000001,0.1740124208,0.449588164,2.7286058039,2.7286058039,139.6,0,-0.33,23.2808
386,Bar,Spirits,01 Spirits,Standard,Smirn RaspCrush,Standard,27,55.29,46.0879,0.0687568552,0.1776440334,1.0781434639,1.0781434639,53.73,0,-1.56,9.2021
387,Bar,Spirits,01 Spirits,Standard,Smirnoff Red,Double,53,304.11999999999995,253.32659999999996,0.3781937926,0.9771225072,5.930276546,5.930276546,319.59,0,15.47,50.7934
388,Bar,Spirits,01 Spirits,Standard,Smirnoff Red,Standard,30,112.25,93.5064,0.1395904683,0.3606536941,2.1888515793,2.1888515793,135.9,0,23.65,18.7436
