, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
450,Food,Breakfasts,Breakfast,Standard,Add 1 Black Pud,Standard,130,104,86.7986,0.1293310352,0.2109971726,1.7322304799,1.7322304799,104,0,0,17.2014
451,Food,Breakfasts,Breakfast,Standard,Add 1 Hash Brown,Standard,303,154.53,128.7655,0.1921685084,0.3135133951,2.5738613083,2.5738613083,154.53,0,0,25.7645
452,Food,Breakfasts,Breakfast,Standard,Add Banana,Standard,21,12.48,10.3975,0.0155197242,0.0253196607,0.2078676576,0.2078676576,12.6,0.12,0,2.0825
453,Food,Breakfasts,Breakfast,Standard,Add Blueberries,Standard,7,4.08,3.3998,0.005073756,0.0082775814,0.0679567342,0.0679567342,4.2,0.12,0,0.6802
454,Food,Breakfasts,Breakfast,Standard,Add Honey ,Standard,1,0.3,0.24989999999999998,0.0003730703,0.0006086457,0.0049968187,0.0049968187,0.3,0,0,0.0501
455,Food,Breakfasts,Breakfast,Standard,Add Maple Syrup,Standard,5,1.5,1.2496,0.0018653515,0.0030432285,0.0249840935,0.0249840935,1.5,0,0,0.2504
456,Food,Breakfasts,Breakfast,Standard,Add Poached Egg,Standard,19,18.62,15.517100000000001,0.0231552296,0.0377766092,0.3101358802,0.3101358802,18.62,0,0,3.1029
457,Food,Breakfasts,Breakfast,Standard,Add Strawberries,Standard,32,19.08,15.896399999999998,0.0237272707,0.0387098659,0.3177976688,0.3177976688,19.2,0.12,0,3.1836
458,Food,Breakfasts,Breakfast,Standard,Add VEGAN Saus,Standard,6,6.9,5.7507,0.0085806168,0.0139988509,0.1149268299,0.1149268299,6.9,0,0,1.1493
459,Food,Breakfasts,Breakfast,Standard,American Breakfa,Standard,47,329,274.1313,0.4091337556,0.6674814404,5.479844499,5.479844499,329,0,0,54.8687
460,Food,Breakfasts,Breakfast,Standard,Bacon Butty,Standard,19,51.11,42.5917,0.0635587424,0.1036929374,0.8512913445,0.8512913445,51.11,0,0,8.5183
461,Food,Breakfasts,Breakfast,Standard,Beans on Toast,Standard,11,32.89,27.4066,0.0409009399,0.0667278558,0.5478178893,0.5478178893,32.89,0,0,5.4834
462,Food,Breakfasts,Breakfast,Standard,Breakfast Wrap,Standard,44,196.63,163.8388,0.2445227063,0.3989266736,3.2750815314,3.2750815314,198.44,1.81,0,32.7912
463,Food,Breakfasts,Breakfast,Standard,Egg&Bac Muffin,Standard,19,38.56,32.1216,0.0479519684,0.0782312594,0.6422577626,0.6422577626,53.01,0,14.45,6.4384
464,Food,Breakfasts,Breakfast,Standard,Egg&Chs Muffin,Standard,7,13.03,10.8575,0.0162036864,0.0264355111,0.2170284919,0.2170284919,18.13,0,5.1,2.1725
465,Food,Breakfasts,Breakfast,Standard,Egg&Saus Muffin,Standard,36,70.69,58.8897,0.0879077969,0.1434172128,1.1774170445,1.1774170445,100.44,0,29.75,11.8003
466,Food,Breakfasts,Breakfast,Standard,Eggs Benedict,Standard,41,215.82999999999998,179.83759999999998,0.2683992051,0.4378799978,3.5948779277,3.5948779277,216.89,1.06,0,35.9924
467,Food,Breakfasts,Breakfast,Standard,Ex FriedEgg,Standard,24,23.52,19.5957,0.029248711,0.0477178221,0.3917505855,0.3917505855,23.52,0,0,3.9243
468,Food,Breakfasts,Breakfast,Standard,Freedom Breakfas,Standard,48,143.52,119.59150000000001,0.1784768286,0.2911760982,2.3904780623,2.3904780623,143.52,0,0,23.9285
469,Food,Breakfasts,Breakfast,Standard,Fresh Fruit,Standard,5,14.95,12.457799999999999,0.0185913363,0.0303308436,0.2490081315,0.2490081315,14.95,0,0,2.4922
470,Food,Breakfasts,Breakfast,Standard,Fruit & Yoghurt,Standard,9,31.41,26.7489,0.0390604598,0.0637252038,0.5231669171,0.5231669171,31.41,0,0,4.6611
471,Food,Breakfasts,Breakfast,Standard,Large Breakfast,Standard,253,1661.99,1385.9886999999999,2.0667969926,3.3718768361,27.6822089936,27.6822089936,1667.27,5.28,0,276.0013
472,Food,Breakfasts,Breakfast,Standard,Large Veg Break,Standard,17,109.39,91.1665,0.1360338648,0.2219325069,1.8220066558,1.8220066558,112.03,2.64,0,18.2235
473,Food,Breakfasts,Breakfast,Standard,Miners Benedict,Standard,9,47.61,39.6702,0.0592062556,0.0965920711,0.7929951264,0.7929951264,47.61,0,0,7.9398
474,Food,Breakfasts,Breakfast,Standard,Muffin Break,Standard,75,162.2,135.1812,0.2017066722,0.3290744366,2.7016133062,2.7016133062,224.25,0,62.05,27.0188
475,Food,Breakfasts,Breakfast,Standard,Mush Benedict,Standard,15,79.35,66.1218,0.0986770927,0.1609867851,1.3216585441,1.3216585441,79.35,0,0,13.2282
476,Food,Breakfasts,Breakfast,Standard,Pancakes,Standard,5,22.25,18.5398,0.0276693801,0.045141222,0.3705973863,0.3705973863,22.25,0,0,3.7102
477,Food,Breakfasts,Breakfast,Standard,Pancakes Bacon,Standard,8,41.12,34.2577,0.0511355016,0.083425036,0.6848972821,0.6848972821,41.12,0,0,6.8623
478,Food,Breakfasts,Breakfast,Standard,Pancakes Fruit,Standard,19,97.66,81.3813,0.1214468163,0.1981344604,1.6266310449,1.6266310449,97.66,0,0,16.2787
479,Food,Breakfasts,Breakfast,Standard,Porridge,Standard,7,13.93,11.6052,0.0173228973,0.0282614482,0.2320189479,0.2320189479,13.93,0,0,2.3248
480,Food,Breakfasts,Breakfast,Standard,Sausage Butty,Standard,27,72.63,60.5284,0.0903203182,0.1473531216,1.2097298054,1.2097298054,72.63,0,0,12.1016
481,Food,Breakfasts,Breakfast,Standard,Scr Egg on Toast,Standard,20,59.8,49.83,0.0743653453,0.1213233743,0.996032526,0.996032526,59.8,0,0,9.97
482,Food,Breakfasts,Breakfast,Standard,Side Bacon,Standard,39,65.13,54.273399999999995,0.0809935608,0.1321369794,1.0848093381,1.0848093381,65.13,0,0,10.8566
483,Food,Breakfasts,Breakfast,Standard,Side Baked Beans,Standard,21,20.58,17.1527,0.0255926222,0.0417530944,0.3427817623,0.3427817623,20.58,0,0,3.4273
484,Food,Breakfasts,Breakfast,Standard,Side Hash Browns,Standard,17,17.34,14.4496,0.021563463,0.0351797209,0.2888161204,0.2888161204,17.34,0,0,2.8904
485,Food,Breakfasts,Breakfast,Standard,Side Mushroom,Standard,33,32.14,26.7803,0.0399682642,0.0652062416,0.5353258425,0.5353258425,32.34,0.2,0,5.3597
486,Food,Breakfasts,Breakfast,Standard,Side Sausage,Standard,79,90.61999999999999,75.50959999999999,0.1126921001,0.1838515749,1.5093723663,1.5093723663,90.85,0.23,0,15.1104
487,Food,Breakfasts,Breakfast,Standard,Side Scram Egg,Standard,6,10.38,8.650500000000001,0.0129082322,0.0210591409,0.1728899267,0.1728899267,10.38,0,0,1.7295
488,Food,Breakfasts,Breakfast,Standard,Side Tomato,Standard,9,5.13,4.2751,0.006379502,0.0104078413,0.0854455996,0.0854455996,5.13,0,0,0.8549
489,Food,Breakfasts,Breakfast,Standard,Small Breakfast,Standard,76,227.24,189.35160000000002,0.282588312,0.4610288222,3.7849235986,3.7849235986,227.24,0,0,37.8884
490,Food,Breakfasts,Breakfast,Standard,Small Pancakes,Standard,9,30.6,25.4963,0.03805317,0.0620818604,0.5096755066,0.5096755066,30.6,0,0,5.1037
491,Food,Breakfasts,Breakfast,Standard,Small Veg Break,Standard,14,41.86,34.876,0.0520557417,0.084926362,0.6972227682,0.6972227682,41.86,0,0,6.984
492,Food,Breakfasts,Breakfast,Standard,Sml Amer Breakfa,Standard,26,133.64,111.35369999999999,0.1661903803,0.2711313668,2.2259161667,2.2259161667,133.64,0,0,22.2863
493,Food,Breakfasts,Breakfast,Standard,Sml Beans ToastW,Standard,3,7.47,6.2204,0.0092894503,0.0151552777,0.1244207854,0.1244207854,7.47,0,0,1.2496
494,Food,Breakfasts,Breakfast,Standard,SmlPancakesBcn,Standard,10,36.9,30.746599999999997,0.0458876462,0.0748634199,0.6146086991,0.6146086991,36.9,0,0,6.1534
495,Food,Breakfasts,Breakfast,Standard,Toast & Preserve,Standard,30,52.35,43.6101,0.0651007663,0.106208673,0.8719448618,0.8719448618,59.7,0,7.35,8.7399
496,Food,Breakfasts,Breakfast,Standard,Trad Breakfast,Standard,189,942.11,785.0421,1.1715775153,1.9113706376,15.69184286,15.69184286,943.11,1,0,157.0679
497,Food,Breakfasts,Breakfast,Standard,Veg Saus Butty,Standard,1,2.69,2.2414,0.003345197,0.005457523,0.0448048076,0.0448048076,2.69,0,0,0.4486
498,Food,Breakfasts,Breakfast,Standard,VEGAN Breakfast,Standard,28,83.72,69.7668,0.1041114834,0.169852724,1.3944455363,1.3944455363,83.72,0,0,13.9532
499,Food,Breakfasts,Breakfast,Standard,VEGAN Butty,Standard,1,2.69,2.2423,0.003345197,0.005457523,0.0448048076,0.0448048076,2.69,0,0,0.4477
500,Food,Breakfasts,Breakfast,Standard,Vege Breakfast,Standard,38,189.62,157.9984,0.2358052971,0.3847046526,3.1583225347,3.1583225347,189.62,0,0,31.6216
501,Food,Breakfasts,Breakfast,Standard,Vege Wrap,Standard,11,49.61,41.3395,0.0616933909,0.100649709,0.8263072511,0.8263072511,49.61,0,0,8.2705
502,Food,Breakfasts,Breakfast,Standard,VegSaus&Egg Muff,Standard,16,31.04,25.862099999999998,0.0386003397,0.0629745408,0.517004174,0.517004174,44.64,0,13.6,5.1779
503,Food,Breakfasts,Breakfast,Standard,Yoghurt Pot,Standard,2,1.68,1.3996,0.0020891936,0.0034084159,0.0279821847,0.0279821847,1.68,0,0,0.2804
504,,,,,SubTotal,,2011,6003.82,5004.5966,7.4661563065,12.1806638947,,100,6148.7,12.58,132.29999999999998,999.2234000000002
505,,,,Sub-Cat Total,,,2011,6003.82,5004.5966,7.4661563065,12.1806638947,,,6148.7,12.58,132.29999999999998,999.2234000000002
506,,,Category Total,,,,2011,6003.82,5004.5966,7.4661563065,12.1806638947,100,,6148.7,12.58,132.29999999999998,999.2234000000002
507,Food,Burgers,Burgers,Standard,AmChs Burger,Standard,35,255.16,212.6076,0.3173087206,0.5176734478,3.061395889,3.061395889,300.3,9.24,35.9,42.5524
508,Food,Burgers,Burgers,Standard,AmericanBurg,Standard,8,54.97,45.8062,0.0683589135,0.1115241787,0.659527089,0.659527089,63.92,3,5.95,9.1638
509,Food,Burgers,Burgers,Standard,BBQ Sauce,Standard,10,9.9,8.2478,0.0123113197,0.0200853078,0.1187796649,0.1187796649,9.9,0,0,1.6522
510,Food,Burgers,Burgers,Standard,Beef Big Smoke,Standard,149,1315.12,1095.9259,1.6354406831,2.6681404008,15.7787386799,15.7787386799,1518.31,52.26,150.93,219.1941
511,Food,Burgers,Burgers,Standard,Beef Classic,Standard,47,330.28,275.19989999999996,0.4107255222,0.6700783286,3.9626815889,3.9626815889,375.53,0,45.25,55.0801
512,Food,Burgers,Burgers,Standard,Beef Meltdown,Standard,70,636.37,530.3068000000001,0.7913691431,1.2910795265,7.6351328653,7.6351328653,713.3,1.8,75.13,106.0632
513,Food,Burgers,Burgers,Standard,Beef Tennessee,Standard,18,166.39,138.6635,0.2069172207,0.337575188,1.9963382269,1.9963382269,183.42,0,17.03,27.7265
514,Food,Burgers,Burgers,Standard,Btmk Big Smoke,Standard,119,1052.7099999999998,877.2628999999998,1.309116097,2.1357580155,12.6303576828,12.6303576828,1212.61,29.25,130.65,175.4471
515,Food,Burgers,Burgers,Standard,Btmk Buffalo,Standard,89,797.3,664.4284,0.9914964844,1.6175773629,9.5659623073,9.5659623073,906.91,11.41,98.2,132.8716
516,Food,Burgers,Burgers,Standard,Btmk Burger,Standard,66,468.90000000000003,390.7243,0.5831088694,0.9513132139,5.6258368567,5.6258368567,527.34,1.74,56.7,78.1757
517,Food,Burgers,Burgers,Standard,Btmk Meltdown,Standard,39,359.04,299.21700000000004,0.4464905277,0.7284271622,4.3077425145,4.3077425145,397.41,0,38.37,59.823
518,Food,Burgers,Burgers,Standard,Btmk Tennessee,Standard,58,525.15,437.6103,0.6530595495,1.0654342809,6.3007213165,6.3007213165,591.02,1,64.87,87.5397
519,Food,Burgers,Burgers,Standard,Ex 6oz Beef Burg,Standard,8,18.72,15.599499999999999,0.0232795863,0.0379794911,0.2246015482,0.2246015482,18.72,0,0,3.1205
520,Food,Burgers,Burgers,Standard,Ex AmChe&MapBac,Standard,3,6.72,5.5991,0.0083567746,0.0136336635,0.0806261968,0.0806261968,6.72,0,0,1.1209
521,Food,Burgers,Burgers,Standard,Ex American Chee,Standard,9,14.58,12.1497,0.0181312163,0.0295801805,0.174930052,0.174930052,14.58,0,0,2.4303
522,Food,Burgers,Burgers,Standard,Ex Bacon & Chees,Standard,10,21.95,18.2899,0.0272963098,0.0445325763,0.2633549136,0.2633549136,22.4,0.45,0,3.6601
523,Food,Burgers,Burgers,Standard,Ex Btmk Burger,Standard,22,45.54,37.9475,0.0566320706,0.0923924158,0.5463864586,0.5463864586,45.54,0,0,7.5925
524,Food,Burgers,Burgers,Standard,Ex Cheese Ched,Standard,21,33.7,28.351300000000002,0.0419082297,0.0683711992,0.4043307786,0.4043307786,34.02,0.32,0,5.3487
525,Food,Burgers,Burgers,Standard,Ex Halloumi Burg,Standard,29,59.620000000000005,50.027800000000006,0.0741415031,0.1209581869,0.7153175376,0.7153175376,60.03,0.41,0,9.5922
526,Food,Burgers,Burgers,Standard,Ex Streaky Bacon,Standard,10,16.2,13.499799999999999,0.0201457959,0.0328668673,0.1943667244,0.1943667244,16.2,0,0,2.7002
527,Food,Burgers,Burgers,Standard,Ex VEGAN burger,Standard,5,10.35,8.6251,0.0128709251,0.0209982763,0.1241787406,0.1241787406,10.35,0,0,1.7249
528,Food,Burgers,Burgers,Standard,Halloumi Burger,Standard,31,217.56,181.2791,0.2705505771,0.4413898546,2.6102731212,2.6102731212,247.69,1.63,28.5,36.2809
529,Food,Burgers,Burgers,Standard,Korean Burger,Standard,30,147.54999999999998,122.95499999999998,0.1834884062,0.2993522387,1.7702969252,1.7702969252,172.2,0,24.65,24.595
530,Food,Burgers,Burgers,Standard,Plant Burger,Standard,36,255.33999999999997,212.75589999999997,0.3175325628,0.5180386352,3.0635555193,3.0635555193,287.64,2.25,30.05,42.5841
531,Food,Burgers,Burgers,Standard,Strip Burger,Standard,25,123.1,102.5735,0.1530831773,0.2497476149,1.4769471466,1.4769471466,143.5,0,20.4,20.5265
532,Food,Burgers,Burgers,Standard,The Empire State,Standard,48,490.08000000000004,408.35720000000003,0.6094476321,0.9942835997,5.879953352,5.879953352,559.2,23.1,46.02,81.7228
533,Food,Burgers,Burgers,Standard,UltimateBurger,Standard,76,699.2900000000001,582.7459000000001,0.8696144194,1.4187328159,8.3900436245,8.3900436245,774.44,1.87,73.28,116.5441
534,Food,Burgers,Burgers,Standard,VeganBBQ Stack,Standard,23,203.17000000000002,169.29630000000003,0.2526556387,0.4121951497,2.437622679,2.437622679,234.37,4.7,26.5,33.8737
535,,,,,SubTotal,,1094,8334.76,6946.0532,10.3648378759,16.9097191792,99.9999999999,100,9447.570000000002,144.42999999999998,968.3799999999999,1388.7068000000002
536,,,,Sub-Cat Total,,,1094,8334.76,6946.0532,10.3648378759,16.9097191792,99.9999999999,99.9999999999,9447.570000000002,144.42999999999998,968.3799999999999,1388.7068000000002
537,,,Category Total,,,,1094,8334.76,6946.053199999999,10.3648378759,16.9097191792,100,99.9999999999,9447.570000000002,144.42999999999998,968.3799999999998,1388.7068000000002
538,Food,Childrens,Childrens Main,Standard,Kids Breakfast,Standard,12,25.680000000000003,21.399100000000004,0.0319348172,0.0521000711,4.2462423731,4.2462423731,35.88,0,10.2,4.2809
539,Food,Childrens,Childrens Main,Standard,Kids CheeTom Pas,Standard,8,35.459999999999994,29.546299999999995,0.0440969087,0.0719419206,5.8633860807,5.8633860807,40.8,0,5.34,5.9137
540,Food,Childrens,Childrens Main,Standard,Kids Chic BreasB,Standard,1,5.75,4.7913,0.007150514,0.0116657091,0.9507746747,0.9507746747,5.75,0,0,0.9587
541,Food,Childrens,Childrens Main,Standard,Kids Ham & Egg B,Standard,1,5.01,4.174799999999999,0.0062302739,0.010164383,0.8284141078,0.8284141078,5.75,0,0.74,0.8352
542,Food,Childrens,Childrens Main,Standard,Kids Jkt Beans,Standard,5,22.85,19.0405,0.0284155207,0.0463585134,3.7782958811,3.7782958811,25.5,0,2.65,3.8095
543,Food,Childrens,Childrens Main,Standard,Kids Jkt NonCarn,Standard,1,3.7899999999999996,3.1568999999999994,0.0047131214,0.0076892239,0.6266845247,0.6266845247,5.1,0,1.31,0.6331
544,Food,Childrens,Childrens Main,Standard,Kids Jkt Tuna,Standard,1,4.3999999999999995,3.6666999999999996,0.0054716976,0.0089268035,0.7275493163,0.7275493163,5.1,0,0.7,0.7333
545,Food,Childrens,Childrens Main,Standard,Kids Nuggets B,Standard,26,131.46,109.53840000000001,0.1634794028,0.2667085415,21.7371893447,21.7371893447,149.5,0,18.04,21.9216
546,Food,Childrens,Childrens Main,Standard,Kids Pizza Ham,Standard,10,44.13,36.778800000000004,0.0548786402,0.089531781,7.2969889379,7.2969889379,51,0,6.87,7.3512
547,Food,Childrens,Childrens Main,Standard,Kids Pizza Margh,Standard,27,118.78999999999999,98.99069999999999,0.1477234007,0.2410034052,19.6421780181,19.6421780181,137.7,0.76,18.15,19.7993
548,Food,Childrens,Childrens Main,Standard,Kids Sausage NM,Standard,17,83.39,69.4859,0.103701106,0.1691832137,13.7887130645,13.7887130645,97.75,0,14.36,13.9041
549,Food,Childrens,Childrens Main,Standard,Kids Side Jkt,Standard,1,0,0,0,0,0,0,0,0,0,0
550,Food,Childrens,Childrens Main,Standard,Kids Spaghetti,Standard,11,50.800000000000004,42.332100000000004,0.0631732364,0.1030640036,8.3998875606,8.3998875606,56.1,0,5.3,8.4679
551,Food,Childrens,Childrens Main,Standard,Kids StripBurgNM,Standard,11,54.34,45.282700000000006,0.0675754659,0.1102460227,8.9852340559,8.9852340559,63.25,0,8.91,9.0573
552,Food,Childrens,Childrens Main,Standard,Kids Toast Beans,Standard,3,4.92,4.0947,0.0061183528,0.0099817893,0.8135324173,0.8135324173,7.47,0,2.55,0.8253
553,Food,Childrens,Childrens Main,Standard,Kids Veg Saus B,Standard,1,5.01,4.175,0.0062302739,0.010164383,0.8284141078,0.8284141078,5.75,0,0.74,0.835
554,Food,Childrens,Childrens Main,Standard,KidsQuornNugg NM,Standard,2,8.99,7.492100000000001,0.0111796731,0.0182390825,1.4865155348,1.4865155348,11.5,0.99,1.52,1.4979
555,,,,,SubTotal,,138,604.77,503.946,0.7520724053,1.2269688471,,100,703.9,1.75,97.37999999999997,100.82399999999998
556,,,,Sub-Cat Total,,,138,604.77,503.946,0.7520724053,1.2269688471,,,703.9,1.75,97.37999999999997,100.82399999999998
557,,,Category Total,,,,138,604.77,503.9460000000001,0.7520724053,1.2269688471,100,,703.9,1.75,97.37999999999995,100.824
558,Food,Curries,Curry Club,Standard,Add Poppodums,Standard,50,25.9,21.5812,0.032208402,0.0525464113,11.5847385606,11.5847385606,26,0.1,0,4.3188
559,Food,Curries,Curry Club,Standard,Bhajis,Standard,5,9.3,7.746500000000001,0.0115651791,0.0188680164,4.159770989,4.159770989,9.3,0,0,1.5535
560,Food,Curries,Curry Club,Standard,Chic Vindaloo,Standard,3,22.830000000000002,19.023400000000002,0.0283906494,0.046317937,10.2115668471,10.2115668471,30.42,0,7.59,3.8066
561,Food,Curries,Curry Club,Standard,Ex Pops&Dips,Standard,3,5.58,4.6508,0.0069391075,0.0113208098,2.4958625934,2.4958625934,5.58,0,0,0.9292
562,Food,Curries,Curry Club,Standard,Garlic Naan,Standard,85,44.2,36.8301,0.05496569,0.0896737984,19.7700943776,19.7700943776,44.2,0,0,7.3699
563,Food,Curries,Curry Club,Standard,Large Curry UK,Standard,39,72.54,60.44630000000001,0.0902083971,0.1471705279,32.4462137138,32.4462137138,72.54,0,0,12.0937
564,Food,Curries,Curry Club,Standard,NEW Veg Samosa,Standard,2,3.72,3.1,0.0046260716,0.0075472066,1.6639083956,1.6639083956,3.72,0,0,0.62
565,Food,Curries,Curry Club,Standard,Plain Naan,Standard,93,0,0,0,0,0,0,0,0,0,0
566,Food,Curries,Curry Club,Standard,Prawn&Fish Curry,Standard,5,38.050000000000004,31.710100000000004,0.0473177489,0.0771965617,17.0192780785,17.0192780785,50.7,0,12.65,6.3399
567,Food,Curries,Curry Club,Standard,Side Garlic Naan,Standard,1,1.45,1.21,0.0018031731,0.0029417875,0.6485664445,0.6485664445,1.45,0,0,0.24
568,,,,,SubTotal,,286,223.57000000000002,186.29840000000002,0.2780244187,0.4535830566,,100,243.91000000000003,0.1,20.240000000000002,37.2716
569,,,,Sub-Cat Total,,,286,223.57000000000002,186.29840000000002,0.2780244187,0.4535830566,,,243.91000000000003,0.1,20.240000000000002,37.2716
570,,,Category Total,,,,286,223.57000000000002,186.29840000000002,0.2780244187,0.4535830566,100,,243.91,0.10000000000000002,20.240000000000002,37.2716
571,Food,Deli,Deli,Standard,JstWrp Brunch,Standard,7,33.74,28.123900000000003,0.0419579724,0.068452352,1.3142928372,1.3142928372,33.74,0,0,5.6161
572,Food,Deli,Deli,Standard,JstWrp ChilChk,Standard,1,4.82,4.015000000000001,0.0059939961,0.0097789074,0.1877561196,0.1877561196,4.82,0,0,0.805
573,Food,Deli,Deli,Standard,JstWrp Halloumi,Standard,7,33.74,28.1205,0.0419579724,0.068452352,1.3142928372,1.3142928372,33.74,0,0,5.6195
574,Food,Deli,Deli,Standard,JstWrp Quorn,Standard,2,9.64,8.0306,0.0119879921,0.0195578148,0.3755122392,0.3755122392,9.64,0,0,1.6094
575,Food,Deli,Deli,Standard,JstWrp Shawarma,Standard,5,24.1,20.082300000000004,0.0299699803,0.0488945371,0.938780598,0.938780598,24.1,0,0,4.0177
576,Food,Deli,Deli,Standard,JstWrp SthChk,Standard,10,48.2,40.1632,0.0599399606,0.0977890742,1.877561196,1.877561196,48.2,0,0,8.0368
577,Food,Deli,Deli,Standard,JstWrp VgBrnch,Standard,1,4.82,4.0200000000000005,0.0059939961,0.0097789074,0.1877561196,0.1877561196,4.82,0,0,0.8
578,Food,Deli,Deli,Standard,Pan BBQ Chicken,Standard,62,321.33,271.7521,0.3995955918,0.6519203989,12.516944795,12.516944795,372,3.07,47.6,49.5779
579,Food,Deli,Deli,Standard,Pan Chs & Tom ,Standard,20,104.27,87.8865,0.1296667985,0.2115449538,4.0616868446,4.0616868446,120,0.43,15.3,16.3835
580,Food,Deli,Deli,Standard,Pan Ham & Cheese,Standard,50,260.17999999999995,216.79729999999995,0.3235514302,0.527858119,10.1349351034,10.1349351034,300,0.72,39.1,43.3827
581,Food,Deli,Deli,Standard,Pan Tuna Chs,Standard,11,59.2,49.3269,0.0736192047,0.1201060829,2.3060502657,2.3060502657,66,0,6.8,9.8731
582,Food,Deli,Deli,Standard,SmlPz SP Chk Shw,Standard,5,26.6,22.1687,0.0330788994,0.0539665845,1.0361644775,1.0361644775,30,0,3.4,4.4313
583,Food,Deli,Deli,Standard,Wrap Brunch,Standard,35,179.22,149.3378,0.2228721936,0.3636049354,6.9812555509,6.9812555509,210,1.03,29.75,29.8822
584,Food,Deli,Deli,Standard,Wrap ChillChick,Standard,9,48.05,40.0363,0.0597534254,0.0974847514,1.8717181633,1.8717181633,54,0,5.95,8.0137
585,Food,Deli,Deli,Standard,Wrap Halloumi,Standard,47,241.69,201.3997,0.3005578644,0.4903452563,9.4146839309,9.4146839309,282,2.06,38.25,40.2903
586,Food,Deli,Deli,Standard,Wrap Quorn Nugg,Standard,24,124.45,103.7028,0.1547619936,0.2524865205,4.8477695196,4.8477695196,144,0,19.55,20.7472
587,Food,Deli,Deli,Standard,Wrap Shawarma,Standard,66,341.42,284.4934,0.4245788658,0.6926793719,13.2995216504,13.2995216504,396,1.03,53.55,56.9266
588,Food,Deli,Deli,Standard,Wrap SouthChic,Standard,123,639.0400000000001,534.4786,0.7946894687,1.2964964731,24.8928777326,24.8928777326,738,2.06,96.9,104.5614
589,Food,Deli,Deli,Standard,Wrap Veg Brunch,Standard,12,62.65,52.21,0.077909513,0.1271055083,2.4404400193,2.4404400193,72,0,9.35,10.44
590,,,,,SubTotal,,497,2567.1600000000003,2146.1456,3.1924371191,5.2083029009,,100,2943.06,10.4,365.5,421.01439999999997
591,,,,Sub-Cat Total,,,497,2567.1600000000003,2146.1456,3.1924371191,5.2083029009,,,2943.06,10.4,365.5,421.01439999999997
592,Food,Deli,Takeaway Deli,Standard,Banana,Standard,13,0,0,0,0,0,0,0,0,0,0
593,,,,,SubTotal,,13,0,0,0,0,0,100,0,0,0,0
594,,,,Sub-Cat Total,,,13,0,0,0,0,0,0,0,0,0,0
595,,,Category Total,,,,510,2567.1600000000003,2146.1456,3.1924371191,5.2083029009,100,,2943.06,10.4,365.5,421.01439999999997
596,Food,Desserts,Desserts,Standard,Apple Crumble,Standard,28,161.56,134.6431,0.2009107889,0.3277759924,7.3560078314,7.3560078314,161.56,0,0,26.9169
597,Food,Desserts,Desserts,Standard,Brownie & IceCre,Standard,46,252.08,210.12050000000002,0.3134785323,0.5114246854,11.4774848609,11.4774848609,252.08,0,0,41.9595
598,Food,Desserts,Desserts,Standard,Choc Fudge Cake,Standard,61,329.88,274.9489,0.4102280952,0.6692668011,15.0198060374,15.0198060374,334.28,4.4,0,54.9311
599,Food,Desserts,Desserts,Standard,Cookie Dough SW,Standard,77,419.76,351.6919,0.5219999552,0.8516170499,19.1121431498,19.1121431498,421.96,2.2,0,68.0681
600,Food,Desserts,Desserts,Standard,Crunch Cookie,Standard,54,106.38,88.5779,0.1322907262,0.2158257618,4.843600601,4.843600601,106.38,0,0,17.8021
601,Food,Desserts,Desserts,Standard,Dessrt Pancakes,Standard,11,56.54,47.102,0.0703113147,0.1147094244,2.5743295543,2.5743295543,56.54,0,0,9.438
602,Food,Desserts,Desserts,Standard,Ex ChocSauce,Standard,12,5.64,4.6995,0.0070137215,0.011442539,0.2567955197,0.2567955197,5.64,0,0,0.9405
603,Food,Desserts,Desserts,Standard,Ex ToffeeSauce,Standard,11,5.17,4.3065,0.0064292447,0.0104889941,0.2353958931,0.2353958931,5.17,0,0,0.8635
604,Food,Desserts,Desserts,Standard,FruitSld & IceCr,Standard,10,34.9,29.086799999999997,0.0434005109,0.070805782,1.5890361062,1.5890361062,34.9,0,0,5.8132
605,Food,Desserts,Desserts,Standard,IceCream&Sauce,Standard,22,43.34,36.099000000000004,0.0538962218,0.0879290141,1.9733187634,1.9733187634,43.34,0,0,7.241
606,Food,Desserts,Desserts,Standard,Kids Straw/Blueb,Standard,2,2.3,1.9185999999999999,0.0028602056,0.0046662836,0.1047215772,0.1047215772,2.3,0,0,0.3814
607,Food,Desserts,Desserts,Standard,Million Shortb,Standard,40,92.8,77.283,0.1154030776,0.1882744002,4.2252879843,4.2252879843,92.8,0,0,15.517
608,Food,Desserts,Desserts,Standard,Mini Brownie,Standard,57,178.41,148.71359999999999,0.2218649038,0.361961592,8.1232072121,8.1232072121,178.41,0,0,29.6964
609,Food,Desserts,Desserts,Standard,Mini CookieDough,Standard,67,208.45000000000002,173.7407,0.2592216759,0.4229073138,9.4909620726,9.4909620726,209.71,1.26,0,34.7093
610,Food,Desserts,Desserts,Standard,Mini DssrtPancak,Standard,8,29.52,24.584,0.0367101169,0.0598907359,1.3440786778,1.3440786778,29.52,0,0,4.936
611,Food,Desserts,Desserts,Standard,Profiterole,Standard,13,70.14,58.4677,0.0872238347,0.1423013624,3.1935527933,3.1935527933,71.24,1.1,0,11.6723
